Plant_species,Mycorrhizal_strategy,Dourght_adaptation
Viburnum_lentago,AM,sensitive
Vicia_benghalensis,AM,sensitive
Vicia_sativa,AM,sensitive
Viola_macloskeyi,AM,sensitive
Viola_sororia,AM,sensitive
Wisteria_frutescens,AM,sensitive
Wyethia_amplexicaulis,AM,sensitive
Zea_mays,AM,sensitive
Hypericum_mutilum,AM,sensitive
Alopecurus_geniculatus,AM,sensitive
Alopecurus_myosuroides,AM,sensitive
Anemopsis_californica,AM,sensitive
Arctophila_fulva,AM,sensitive
Arnica_chamissonis,AM,sensitive
Arnica_ovata,AM,sensitive
Arnica_griscomii_subsp._frigida,AM,sensitive
Arnica_latifolia,AM,sensitive
Arnica_longifolia,AM,sensitive
Asclepias_incarnata,AM,sensitive
Beckmannia_syzigachne,AM,sensitive
Chamaecyparis_thyoides,AM,sensitive
Cicuta_douglasii,AM,sensitive
Cirsium_foliosum,AM,sensitive
Claytonia_perfoliata,AM,sensitive
Claytonia_sibirica,AM,sensitive
Decodon_verticillatus,AM,sensitive
Delphinium_glaucum,AM,sensitive
Diospyros_virginiana,AM,sensitive
Ephedra_nevadensis,AM,sensitive
Ephedra_trifurca,AM,sensitive
Fothergilla_gardenii,AM,sensitive
Geranium_oreganum,AM,sensitive
Glycyrrhiza_lepidota,AM,sensitive
Hypericum_boreale,AM,sensitive
Hypericum_galioides,AM,sensitive
Iris_virginica,AM,sensitive
Lathyrus_hirsutus,AM,sensitive
Leersia_virginica,AM,sensitive
Lysimachia_thyrsiflora,AM,sensitive
Medicago_lupulina,AM,sensitive
Medicago_polymorpha,AM,sensitive
Medicago_scutellata,AM,sensitive
Nyssa_aquatica,AM,sensitive
Panicum_dichotomiflorum,AM,sensitive
Parnassia_palustris,AM,sensitive
Paspalum_distichum,AM,sensitive
Paspalum_vaginatum,AM,sensitive
Penstemon_hartwegii,AM,sensitive
Prunus_americana,AM,sensitive
Prunus_angustifolia,AM,sensitive
Prunus_nigra,AM,sensitive
Prunus_padus,AM,sensitive
Punica_granatum,AM,sensitive
Ranunculus_sceleratus,AM,sensitive
Rubus_chamaemorus,AM,sensitive
Sabal_minor,AM,sensitive
Saccharum_giganteum,AM,sensitive
Symphyotrichum_subspicatum,AM,sensitive
Trifolium_nigrescens,AM,sensitive
