Plant_species,Mycorrhizal_strategy,Drought_adaptation
Spiraea_japonica,AM,tolerant
Spiraea_trilobata,AM,tolerant
Taxus_baccata,AM,tolerant
Taxus_brevifolia,AM,tolerant
Taxus_canadensis,AM,tolerant
Taxus_cuspidata,AM,tolerant
Elymus_hispidus,AM,tolerant
Elymus_elongatus,AM,tolerant
Tragopogon_porrifolius,AM,tolerant
Trifolium_ambiguum,AM,tolerant
Trifolium_hirtum,AM,tolerant
Trifolium_longipes,AM,tolerant
Trifolium_macrocephalum,AM,tolerant
Trifolium_subterraneum,AM,tolerant
Trisetum_spicatum,AM,tolerant
Ulmus_americana,AM,tolerant
Ulmus_parvifolia,AM,tolerant
Ulmus_rubra,AM,tolerant
Viburnum_lantanoides,AM,tolerant
Viburnum_opulus,AM,tolerant
Viburnum_prunifolium,AM,tolerant
Vicia_villosa,AM,tolerant
Viola_pubescens,AM,tolerant
Euonymus_fortunei,AM,tolerant
Berberis_amurensis,AM,tolerant
Berberis_vulgaris,AM,tolerant
Clematis_alpina,AM,tolerant
Cornus_controversa,AM,tolerant
Cornus_kousa,AM,sensitive
Cornus_sanguinea,AM,tolerant
Cornus_sericea,AM,sensitive
Cotoneaster_bullatus,AM,tolerant
Cupressus_sempervirens,AM,tolerant
Daphne_laureola,AM,tolerant
Daphne_mezereum,AM,tolerant
Euonymus_alatus,AM,sensitive
Euonymus_americanus,AM,tolerant
Euonymus_europaeus,AM,tolerant
Euonymus_latifolius,AM,tolerant
Euonymus_oxyphyllus,AM,tolerant
Euonymus_hamiltonianus,AM,tolerant
Euonymus_verrucosus,AM,tolerant
Genista_anglica,AM,tolerant
Genista_pilosa,AM,tolerant
Genista_tinctoria,AM,tolerant
Juniperus_deppeana,AM,tolerant
Juniperus_sabina,AM,tolerant
Ligustrum_lucidum,AM,tolerant
Linnaea_borealis,AM,tolerant
Lonicera_alpigena,AM,sensitive
Lonicera_caerulea,AM,sensitive
Lonicera_nigra,AM,tolerant
Lonicera_xylosteum,AM,tolerant
Platanus_orientalis,AM,tolerant
Polygala_chamaebuxus,AM,sensitive
Rhamnus_alpina,AM,tolerant
Rhamnus_cathartica,AM,tolerant
Rhamnus_saxatilis,AM,tolerant
Ribes_alpinum,AM,tolerant
Ribes_nigrum,AM,sensitive
Ribes_petraeum,AM,tolerant
Ribes_rubrum,AM,sensitive
Ribes_spicatum,AM,sensitive
Rosa_agrestis,AM,tolerant
Rosa_arvensis,AM,tolerant
Rosa_canina,AM,tolerant
Rosa_caesia,AM,tolerant
Rosa_corymbifera,AM,tolerant
Rosa_davurica,AM,tolerant
Rosa_elliptica,AM,tolerant
Rosa_gallica,AM,tolerant
Rosa_majalis,AM,tolerant
Rosa_micrantha,AM,tolerant
Rosa_obtusifolia,AM,tolerant
Rosa_pendulina,AM,tolerant
Rosa_xanthina,AM,tolerant
Rosa_glauca,AM,tolerant
Rosa_sherardii,AM,tolerant
Rosa_subcanina,AM,tolerant
Rosa_subcollina,AM,tolerant
Rosa_villosa,AM,tolerant
Rubus_caesius,AM,tolerant
Rubus_phoenicolasius,AM,tolerant
Sambucus_cerulea,AM,tolerant
Sambucus_ebulus,AM,tolerant
Sambucus_nigra,AM,tolerant
Sorbus_alnifolia,AM,sensitive
Sorbus_aria,AM,tolerant
Sorbus_domestica,AM,tolerant
Sorbus_torminalis,AM,tolerant
Spiraea_salicifolia,AM,sensitive
Thymus_serpyllum,AM,tolerant
Ulex_europaeus,AM,tolerant
Ulex_gallii,AM,sensitive
Ulex_minor,AM,sensitive
Ulmus_davidiana,AM,sensitive
Ulmus_glabra,AM,sensitive
Ulmus_laevis,AM,sensitive
Ulmus_minor,AM,tolerant
Viburnum_furcatum,AM,sensitive
Viburnum_rufidulum,AM,tolerant
Triglochin_scilloides,AM,sensitive
Menyanthes_trifoliata,AM,sensitive
Hesperis_matronalis,AM,tolerant
Iberis_sempervirens,AM,tolerant
Phytolacca_americana,AM,tolerant
Amaranthus_californicus,AM,sensitive
Armeria_maritima,AM,sensitive
Corydalis_caseana,AM,sensitive
Corydalis_flavula,AM,sensitive
