Plant species,Latitude,Longitude
Phleum pratense,47.2,19.5
Phleum pratense,47.2,19.5
Phleum pratense,42,12.6
Phleum pratense,49.8,19.5
Phleum pratense,47.2,19.5
Phleum pratense,47.2,19.5
Phleum pratense,43.9,20.2
Phleum pratense,47.2,19.5
Phleum pratense,52.2,5.4
Phleum pratense,51.9,19.1
Phleum pratense,52.2,5.4
Phleum pratense,52.2,5.4
Phleum pratense,52.2,5.4
Phleum pratense,52.2,5.4
Phleum pratense,52.2,5.4
Phleum pratense,52.2,5.4
Phleum pratense,52.2,5.4
Phleum pratense,52.2,5.4
Phleum pratense,52.2,5.4
Phleum pratense,52.2,5.4
Phleum pratense,52.2,5.4
Phleum pratense,52.2,5.4
Phleum pratense,52.2,5.4
Solanum melongena,32.2,117.3
Solanum melongena,36,104
Solanum melongena,36,104
Solanum melongena,36,104
Solanum melongena,42.7,25.5
Agrostis capillaris,52.2,5.4
Agrostis capillaris,52.2,5.4
Agrostis capillaris,52.2,5.4
Agrostis capillaris,52.2,5.4
Agrostis capillaris,52.2,5.4
Agrostis capillaris,52.2,5.4
Agrostis capillaris,52.2,5.4
Agrostis capillaris,52.2,5.4
Agrostis capillaris,52.2,5.4
Agrostis capillaris,52.2,5.4
Solanum lycopersicum,48,-125
Lolium perenne,49.8,19.5
Lolium perenne,52.2,5.4
Lolium perenne,52.2,5.4
Solanum lycopersicum,47.2,19.5
Lolium perenne,52.2,5.4
Solanum lycopersicum,35,134
Solanum lycopersicum,35,134
Lolium perenne,52.2,5.4
Solanum lycopersicum,35,134
Lolium perenne,52.2,5.4
Lolium perenne,52.2,5.4
Lolium perenne,52.2,5.4
Lolium perenne,52.2,5.4
Solanum lycopersicum,51.9,19.1
Lolium perenne,52.2,5.4
Solanum lycopersicum,35,134
Lolium perenne,52.2,5.4
Solanum lycopersicum,35,134
Lolium perenne,52.2,5.4
Solanum lycopersicum,35,134
Lolium perenne,52.2,5.4
Solanum lycopersicum,35,134
Lolium perenne,52.2,5.4
Solanum lycopersicum,35,134
Lolium perenne,52.2,5.4
Solanum lycopersicum,45.7,2.9
Lolium perenne,51.34,3.78
Solanum lycopersicum,35,134
Solanum lycopersicum,35,134
Lolium perenne,51.717,5.75
Lolium perenne,51.467,5.583
Lolium perenne,51.572,3.77
Solanum lycopersicum,45.7,2.9
Solanum lycopersicum,55.6,37.7
Lolium perenne,51.69,3.89
Solanum lycopersicum,55.4,-3.4
Lolium perenne,52.433,5
Solanum lycopersicum,40.8,14.8
Solanum lycopersicum,56,10.7
Lolium perenne,52.07,5.19
Lolium perenne,51.763,4.8
Solanum lycopersicum,42,12.6
Solanum lycopersicum,42,12.6
Lolium perenne,51.49,5.14
Lolium perenne,52,6
Solanum lycopersicum,48,-125
Lolium perenne,51.74,4.52
Solanum lycopersicum,63,-91
Solanum lycopersicum,48,-125
Lolium perenne,52,6.31
Lolium perenne,52,4
Lolium perenne,50.86,5.88
Solanum lycopersicum,51.2,10.5
Solanum lycopersicum,35,134
Solanum lycopersicum,48,-125
Lolium perenne,51.46,3.8
Lolium perenne,52.2,4.867
Solanum lycopersicum,48,-125
Lolium perenne,51.34,3.78
Solanum lycopersicum,45.7,2.9
Trifolium pratense,41.083,70.683
Solanum lycopersicum,48,-125
Trifolium pratense,41.083,70.683
Trifolium pratense,41.167,73.317
Solanum melongena,45.7,2.9
Trifolium pratense,41.033,73.167
Trifolium repens,41.083,70.683
Trifolium pratense,37.483,67.383
Solanum melongena,36,-6
Trifolium repens,41.083,70.683
Solanum melongena,48.4,31.2
Solanum melongena,45.1,35
Trifolium repens,40.817,73.467
Trifolium repens,40.983,73.183
Solanum melongena,38.117,13.333
Trifolium repens,56,10.7
Solanum melongena,35.95,39
Trifolium repens,52.2,5.4
Solanum melongena,35.95,39
Trifolium repens,56,10.7
Solanum melongena,45.1,35
Trifolium repens,56,10.7
Solanum melongena,35.317,35.917
Solanum melongena,32.783,36.083
Trifolium repens,50.5,4.5
Trifolium repens,56,10.7
Solanum melongena,35.92,38.73
Solanum melongena,36.167,37.133
Solanum melongena,33.483,36.35
Solanum melongena,32.783,36.083
Solanum melongena,33.47,36.28
Solanum melongena,3.2,73
Solanum melongena,36.1,120.317
Solanum melongena,49.8,19.5
Solanum melongena,36,104
Solanum melongena,19,85
Solanum melongena,19,85
Solanum melongena,19,85
Solanum melongena,36,104
Solanum melongena,36,104
Solanum melongena,19,85
Solanum melongena,36,104
Solanum melongena,45.7,2.9
Solanum melongena,-2,118
Solanum melongena,36,104
Solanum melongena,38.7,35.467
Solanum melongena,40.767,30.4
Solanum melongena,40.767,30.4
Solanum melongena,40.767,30.4
Solanum melongena,36,-6
Solanum melongena,46,25
Solanum melongena,35,134
Solanum melongena,46,25
Solanum melongena,48,-125
Solanum melongena,42.7,25.5
Solanum melongena,19,85
Solanum melongena,27.717,85.317
Solanum melongena,36,104
Solanum melongena,19,85
Solanum melongena,19,85
Solanum melongena,23.6,121.1
Solanum melongena,36,104
Solanum melongena,36,104
Solanum lycopersicum,48,-125
Solanum melongena,36,104
Solanum melongena,36,104
Solanum melongena,36,104
Solanum melongena,66,100
Solanum melongena,35,134
Solanum melongena,48.4,31.2
Solanum melongena,40.1,45
Solanum melongena,62,109
Solanum melongena,48,-125
Solanum melongena,42,12.6
Solanum melongena,45.3,39.6
Solanum melongena,48,-125
Solanum melongena,39,34.9
Solanum melongena,42,12.6
Solanum melongena,36,104
Solanum melongena,46,25
Solanum melongena,36,104
Solanum melongena,66,100
Solanum melongena,19,85
Solanum melongena,39,34.9
Solanum melongena,51.2,10.5
Solanum melongena,36,104
Solanum melongena,36,104
Solanum melongena,39.917,44.033
Solanum melongena,40.317,36.567
Solanum melongena,40.65,35.85
Solanum melongena,41.183,41.817
Solanum melongena,41.017,28.967
Solanum melongena,41.633,32.35
Solanum melongena,41.217,31.95
Solanum melongena,41.283,36.333
Solanum melongena,41.367,33.783
Solanum melongena,41.217,31.95
Solanum melongena,40.767,30.4
Solanum melongena,40.767,30.4
Solanum melongena,39.783,26.333
Solanum melongena,39.783,26.333
Solanum melongena,39.6,26.4
Solanum melongena,41.25,32.75
Solanum melongena,39.783,26.333
Solanum melongena,41.667,26.567
Solanum melongena,39.783,26.333
Solanum melongena,39.783,26.333
Solanum melongena,40.883,29.167
Solanum melongena,35,134
Solanum melongena,41.733,27.2
Solanum melongena,55.4,-3.4
Solanum lycopersicum,48,-125
Solanum lycopersicum,36,104
Solanum lycopersicum,36,104
Solanum lycopersicum,36,104
Solanum lycopersicum,36,104
Solanum lycopersicum,40.2,116.4
Solanum lycopersicum,36,104
Solanum lycopersicum,36,104
Solanum lycopersicum,36,104
Solanum lycopersicum,39.4,116.7
Solanum lycopersicum,36,104
Solanum lycopersicum,36,104
Solanum lycopersicum,51.9,19.1
Solanum lycopersicum,51.9,19.1
Solanum lycopersicum,51.9,19.1
Solanum lycopersicum,51.9,19.1
Solanum lycopersicum,51.9,19.1
Solanum lycopersicum,51.9,19.1
Solanum lycopersicum,51.9,19.1
Solanum lycopersicum,63,-91
Solanum lycopersicum,51.9,19.1
Solanum lycopersicum,47.2,19.5
Solanum lycopersicum,49.5,44.2
Solanum lycopersicum,66,100
Solanum lycopersicum,48,-125
Solanum lycopersicum,47.2,19.5
Solanum lycopersicum,47.2,19.5
Solanum lycopersicum,47.2,19.5
Solanum lycopersicum,51.2,10.5
Solanum lycopersicum,48,-125
Solanum lycopersicum,48,-125
Solanum lycopersicum,52.2,5.4
Solanum lycopersicum,62,109
Solanum lycopersicum,-10,-75
Solanum lycopersicum,36,104
Solanum lycopersicum,36,104
Solanum lycopersicum,63,-91
Solanum lycopersicum,63,-91
Solanum lycopersicum,36,104
Solanum lycopersicum,63,-91
Solanum lycopersicum,63,-91
Solanum lycopersicum,63,-91
Solanum lycopersicum,63,-91
Solanum lycopersicum,55.6,37.7
Solanum lycopersicum,63,-91
Solanum lycopersicum,48,-125
Solanum lycopersicum,15.8,-90.2
Solanum lycopersicum,15.8,-90.2
Solanum lycopersicum,15.8,-90.2
Solanum lycopersicum,15.8,-90.2
Solanum lycopersicum,15.8,-90.2
Solanum lycopersicum,15.8,-90.2
Solanum lycopersicum,51.2,10.5
Solanum lycopersicum,42,12.6
Solanum lycopersicum,38.6,-80.2
Solanum lycopersicum,48.4,31.2
Solanum lycopersicum,55.6,37.7
Solanum melongena,52.2,5.4
Solanum melongena,35,134
Solanum melongena,35,134
